year,brand,km_driven,mileage,engine,max_power,torque,seats,fuel_type,transmission,owner_count,price
2000,Toyota,74797,19.84,1152,172.7,232.8,6,Electric,Automatic,1,206875
2005,Honda,45325,12.52,824,87.2,175.4,4,CNG,Automatic,3,64722
2021,Hyundai,85837,29.25,2850,144.8,235.2,5,CNG,Automatic,1,213144
2002,Renault,44878,29.87,2043,122.9,235.9,4,Diesel,Manual,2,126598
2006,Volkswagen,85860,18.59,2361,71.0,60.1,4,Diesel,Manual,2,80013
2023,Hyundai,27768,17.93,1406,151.4,203.1,7,Electric,Automatic,2,148950
2021,Mahindra,13872,18.56,1046,134.8,135.3,4,CNG,Manual,2,183962
1996,Ford,164594,13.73,1187,108.0,237.5,5,Diesel,Manual,2,70250
2003,Kia,82716,14.16,2865,121.4,355.0,6,CNG,Manual,1,127286
2009,Honda,130399,29.5,1689,47.0,384.3,7,Petrol,Manual,2,47115
1996,Maruti,86137,16.78,1895,114.0,126.8,7,Diesel,Automatic,3,99383
2023,Kia,97108,27.41,1685,66.0,97.3,7,Electric,Manual,2,99132
1995,Maruti,61653,10.15,2483,40.0,399.3,5,Electric,Automatic,2,91102
2004,Renault,5836,21.93,807,68.8,160.1,4,Petrol,Manual,2,39881
1996,Hyundai,92554,14.55,2920,129.5,285.9,7,CNG,Automatic,1,187331
2006,Ford,29843,21.4,2642,123.5,162.9,5,Electric,Automatic,2,195660
2017,Honda,126766,23.4,1165,63.3,153.6,4,Electric,Manual,3,111172
2002,Tata,193806,26.26,2986,41.0,208.2,7,Electric,Automatic,1,30000
1999,Tata,3313,14.91,1677,102.4,147.6,5,Diesel,Manual,1,88835
2016,Toyota,192615,22.78,1374,67.7,263.1,6,CNG,Manual,3,104566
2022,Renault,86345,10.08,2953,135.2,320.3,4,Electric,Manual,1,192807
1995,Mahindra,90943,29.99,2051,118.7,168.3,6,Diesel,Manual,1,146262
2009,Ford,187760,18.37,1079,142.0,266.9,5,CNG,Manual,2,150626
2000,Mahindra,188349,13.97,1249,77.1,235.9,7,Electric,Manual,1,72079
2006,Toyota,44365,22.89,1086,160.2,189.3,6,Diesel,Automatic,1,216028
2002,Tata,68181,20.68,2176,43.9,173.8,5,Electric,Manual,1,62313
2007,Honda,93895,10.06,1714,110.7,246.7,5,Diesel,Manual,3,170111
2013,Tata,154607,18.04,2183,108.4,306.4,6,Diesel,Automatic,2,159388
2021,Tata,62460,26.56,2363,189.0,235.1,5,Electric,Automatic,3,195143
1995,Tata,42167,15.18,2028,138.4,101.8,7,Diesel,Manual,2,117685
2005,Honda,40008,29.2,2730,180.0,363.8,5,Petrol,Manual,1,172283
2014,Renault,132049,27.29,1266,143.5,212.7,4,Diesel,Manual,2,212517
1995,Toyota,194368,17.42,1624,105.1,112.0,6,Petrol,Automatic,1,113297
2002,Hyundai,145114,18.02,1025,185.9,269.8,4,Electric,Manual,2,258410
1999,Ford,34029,19.05,1233,188.7,115.3,6,Diesel,Manual,2,225260
2011,Renault,197547,22.74,1808,196.2,268.2,6,Petrol,Automatic,1,248694
2002,Toyota,32254,16.56,1317,96.3,216.1,6,Petrol,Manual,3,148274
2019,Tata,57648,10.02,1946,54.5,99.8,7,Diesel,Manual,2,69249
2004,Renault,67147,18.73,1430,57.8,142.7,4,Electric,Automatic,3,88309
1996,Mahindra,192946,19.9,819,108.7,186.7,4,Electric,Manual,2,134187
2003,Kia,93555,24.19,2434,62.1,163.3,6,Diesel,Automatic,3,109756
2018,Tata,59082,10.36,2702,187.9,276.4,6,Electric,Manual,1,200594
2017,Tata,62382,22.64,855,81.3,146.8,4,CNG,Automatic,3,107520
1997,Hyundai,197792,11.52,2477,156.2,381.1,7,CNG,Automatic,2,153178
2012,Ford,18052,20.51,2343,124.1,261.0,6,Petrol,Manual,2,150325
2001,Kia,175804,14.02,2061,186.2,350.1,6,Electric,Automatic,1,248620
2009,Mahindra,73002,27.59,1176,130.8,260.3,4,Electric,Automatic,3,106701
2015,Mahindra,160292,18.54,2394,197.6,125.8,6,CNG,Automatic,1,253285
2016,Mahindra,186084,12.49,1949,53.0,234.6,7,Petrol,Automatic,2,92647
2014,Maruti,59940,10.55,1271,146.5,387.0,6,Diesel,Automatic,2,174419
2012,Mahindra,148671,27.04,2108,138.4,136.5,4,CNG,Automatic,3,175442
2019,Volkswagen,147461,28.75,1592,148.2,256.3,7,Electric,Automatic,3,149468
1997,Renault,147714,24.53,2856,90.8,143.7,6,Electric,Manual,1,154447
2022,Honda,63843,23.28,2669,54.2,230.5,5,CNG,Manual,2,39686
2017,Kia,5963,14.97,1913,74.3,155.3,7,Electric,Manual,3,101506
2008,Kia,22686,24.51,2849,177.8,171.7,4,Diesel,Manual,2,186745
2018,Tata,184446,13.07,1744,172.6,388.5,6,Diesel,Automatic,3,196933
1996,Toyota,153868,26.31,1075,75.8,197.4,7,Petrol,Automatic,2,80211
2008,Toyota,147329,18.74,920,44.6,109.1,5,Diesel,Automatic,2,91749
2016,Maruti,190169,27.49,2748,146.2,63.3,6,Diesel,Automatic,2,179134
2005,Volkswagen,10124,16.86,1579,75.1,358.0,5,CNG,Manual,2,86062
2010,Mahindra,141099,10.23,2901,118.9,291.3,6,CNG,Manual,1,154728
2002,Mahindra,130372,26.24,828,110.2,65.3,6,Petrol,Manual,2,113864
2001,Mahindra,72373,27.63,1493,146.3,238.7,6,CNG,Automatic,3,125190
2005,Maruti,83283,10.38,2047,96.3,119.5,6,Diesel,Manual,2,112169
1997,Maruti,135846,15.13,1703,109.9,277.2,5,Petrol,Automatic,1,76296
2011,Volkswagen,26892,16.35,1982,172.7,351.2,6,Petrol,Automatic,3,234618
2008,Hyundai,1626,21.96,2972,90.2,142.9,5,Diesel,Automatic,1,153248
2000,Maruti,45542,14.72,1468,69.9,77.1,4,Petrol,Automatic,2,109885
2002,Renault,124422,28.52,1999,101.3,122.6,7,CNG,Automatic,3,70241
2016,Toyota,39605,29.27,1914,82.1,248.5,4,Petrol,Automatic,1,144888
1999,Tata,149632,21.71,2739,184.7,260.3,4,Petrol,Manual,2,230426
2021,Renault,148912,29.71,918,41.7,299.7,4,CNG,Automatic,3,46049
2022,Mahindra,58704,13.41,1689,171.9,225.2,5,Petrol,Manual,2,197405
2002,Tata,120469,12.31,2671,78.9,345.4,5,Electric,Manual,2,138860
1996,Toyota,116091,18.12,1308,83.6,220.6,6,Petrol,Automatic,2,44171
2009,Tata,175358,25.91,2000,57.3,142.1,7,CNG,Automatic,2,75337
2006,Tata,66920,21.78,2496,123.4,338.5,6,CNG,Manual,3,197068
2011,Honda,101494,22.6,1541,47.3,372.3,7,Diesel,Automatic,2,100893
1995,Toyota,28668,29.18,2079,109.9,154.1,7,CNG,Automatic,3,137019
2009,Tata,130309,21.96,1161,157.3,201.0,6,Electric,Manual,2,191279
2008,Renault,132326,18.67,1450,154.8,108.2,6,Electric,Manual,3,162519
2014,Ford,32242,25.7,1481,61.1,88.4,5,Electric,Manual,1,63353
2016,Toyota,140377,25.3,1978,94.2,180.4,6,Petrol,Automatic,3,100569
2010,Honda,180417,28.94,1510,166.2,107.4,5,Electric,Manual,3,187952
2023,Renault,74651,22.28,1891,63.2,104.3,4,CNG,Manual,1,53554
2003,Tata,73260,10.3,1986,74.0,361.8,6,Petrol,Manual,1,55441
1995,Renault,16918,16.68,1781,69.8,234.3,6,Electric,Manual,3,86814
2022,Kia,149718,18.43,2201,188.1,173.1,5,Electric,Manual,1,253666
2011,Kia,137865,24.52,1864,45.2,110.9,4,CNG,Automatic,2,30000
2023,Volkswagen,38408,21.89,1371,57.6,319.2,7,Petrol,Manual,3,30000
2007,Kia,119848,22.71,1321,198.1,299.4,6,Electric,Automatic,2,194664
2015,Volkswagen,30134,15.3,2611,155.1,235.1,6,CNG,Manual,3,229774
2020,Maruti,85382,26.59,1986,153.6,233.3,6,Petrol,Manual,2,158414
2015,Honda,46367,16.4,1763,85.4,133.0,4,Electric,Manual,3,124813
1999,Kia,24596,24.32,1941,141.4,201.9,5,CNG,Automatic,3,212100
2004,Toyota,173576,15.24,1948,113.8,193.1,5,CNG,Automatic,3,96088
2000,Volkswagen,190733,22.65,1643,91.6,87.6,5,Electric,Manual,1,55159
2018,Hyundai,150124,20.17,2253,51.3,368.6,5,CNG,Manual,1,30000
2013,Maruti,156703,12.58,2671,199.4,314.3,7,Petrol,Automatic,3,266983
2019,Mahindra,71480,16.08,2605,51.7,140.8,7,Petrol,Manual,2,32067
2007,Toyota,15936,20.83,2435,122.7,312.9,4,Electric,Automatic,1,176188
1995,Mahindra,158592,18.78,1390,121.7,79.7,4,Electric,Automatic,3,137838
2014,Mahindra,52650,18.08,2680,156.7,340.2,6,CNG,Manual,1,240096
2019,Renault,117019,24.47,2438,68.7,165.3,4,Petrol,Manual,1,90187
2009,Tata,45323,24.33,2004,179.9,320.8,5,Petrol,Manual,3,236937
2008,Honda,92511,29.86,2017,165.9,332.3,5,Electric,Manual,1,240802
2002,Kia,152003,12.45,1007,133.1,213.0,6,CNG,Manual,2,143571
2004,Renault,161647,14.97,2598,137.6,216.9,5,Diesel,Automatic,3,207176
2003,Kia,130950,15.77,1469,95.3,282.5,4,Diesel,Manual,2,155151
2011,Toyota,135974,16.18,1339,53.6,167.6,5,Diesel,Automatic,1,61838
2003,Renault,111316,16.62,2859,75.1,363.4,6,Petrol,Automatic,3,82559
1997,Honda,76362,21.33,1638,156.9,178.7,5,Petrol,Manual,1,223850
2005,Mahindra,14288,10.95,1777,44.2,301.9,4,Diesel,Manual,3,30000
2006,Ford,20304,19.31,1911,60.7,262.7,4,Diesel,Manual,1,107756
2004,Maruti,8545,24.17,2794,179.3,157.5,6,Electric,Automatic,2,210318
2019,Maruti,178969,24.5,2249,171.6,262.5,7,Electric,Automatic,2,221237
2011,Honda,119263,21.06,1105,167.1,256.5,6,Electric,Automatic,2,210725
2011,Toyota,159620,28.42,1405,126.7,103.0,4,Petrol,Automatic,2,158574
2019,Maruti,115491,13.83,2764,170.1,259.6,6,CNG,Automatic,1,202933
2005,Renault,181162,29.72,1228,128.2,270.2,6,Diesel,Manual,1,124280
2016,Hyundai,87315,13.36,2367,110.1,277.0,4,CNG,Automatic,2,168583
1998,Mahindra,165056,16.87,1339,195.4,167.7,6,CNG,Automatic,3,183734
2001,Tata,134889,11.03,2761,196.8,212.1,5,Electric,Automatic,3,206408
2015,Tata,197715,29.24,2759,75.2,331.0,4,Electric,Manual,2,105975
2020,Tata,44368,21.62,2079,84.2,316.6,7,CNG,Automatic,3,63140
2008,Maruti,154953,23.5,1736,84.9,307.7,6,Electric,Automatic,3,107190
2001,Honda,26742,29.21,2478,43.2,341.9,4,CNG,Automatic,1,30000
2018,Honda,169678,25.13,2250,146.3,320.4,4,Diesel,Automatic,1,165051
2002,Renault,154510,29.58,1633,158.9,291.4,6,CNG,Automatic,2,170508
1995,Tata,18831,20.68,1741,59.5,162.9,5,Diesel,Manual,1,33606
2018,Hyundai,100502,24.41,2815,183.8,368.0,5,Electric,Manual,3,231000
2016,Maruti,43187,13.14,1371,66.1,223.2,7,Electric,Automatic,3,99055
1998,Toyota,185819,10.84,1697,142.3,281.2,7,Petrol,Automatic,3,117900
2023,Maruti,58651,18.9,2725,170.8,164.2,4,Petrol,Manual,3,180589
2006,Mahindra,13119,11.8,2983,117.6,374.8,7,CNG,Manual,3,191337
2018,Renault,19053,20.03,1138,72.9,84.9,7,Diesel,Automatic,3,78853
1997,Volkswagen,113325,17.06,1053,48.8,385.7,7,Electric,Manual,2,80551
2007,Hyundai,4769,13.71,2800,131.6,357.3,7,Electric,Automatic,2,179138
2014,Renault,109644,29.7,949,102.6,353.9,5,Petrol,Automatic,2,86036
2000,Renault,60010,28.8,2826,55.1,85.0,5,Petrol,Manual,1,104376
2005,Tata,19577,15.58,2529,177.2,352.8,7,CNG,Automatic,1,182529
2017,Renault,61599,18.56,874,45.5,325.2,6,Electric,Automatic,3,96479
1998,Hyundai,199491,23.37,2976,164.5,366.4,6,Electric,Automatic,1,165794
2014,Ford,39304,20.55,2264,163.0,331.4,7,CNG,Automatic,1,158179
2010,Renault,74872,28.24,1313,40.5,79.1,6,CNG,Manual,2,30000
2001,Toyota,94983,29.75,935,63.2,193.6,7,Electric,Manual,2,56954
2016,Kia,25651,11.25,1793,150.0,166.0,7,CNG,Automatic,3,193692
2023,Tata,134844,18.99,1758,112.0,319.6,6,Petrol,Manual,2,173791
2005,Honda,75113,17.55,1712,134.0,138.7,7,Electric,Automatic,1,168731
2018,Toyota,194689,11.05,2734,84.4,178.2,4,CNG,Automatic,1,148261
1995,Toyota,134286,28.23,2935,79.5,200.5,5,Diesel,Manual,2,47402
2020,Maruti,17830,13.12,1612,130.3,114.6,6,Petrol,Manual,3,211708
2023,Volkswagen,5496,10.74,1347,90.2,368.6,4,Electric,Automatic,3,109935
2021,Maruti,56411,11.92,2552,41.3,91.3,5,Diesel,Manual,2,99066
2001,Maruti,141387,18.76,1081,80.4,273.1,6,CNG,Automatic,2,94730
2006,Toyota,68617,18.21,909,78.3,358.4,6,CNG,Automatic,1,71300
2001,Maruti,95013,28.1,2868,82.1,232.4,5,Diesel,Manual,2,76548
2021,Tata,101767,10.39,2212,154.4,316.1,7,CNG,Manual,3,172834
2017,Hyundai,7961,28.49,1908,50.9,252.1,7,Petrol,Manual,1,33736
2001,Maruti,165437,18.09,2943,46.5,326.5,4,Diesel,Manual,1,30000
2004,Ford,14809,14.4,1647,110.4,123.5,6,Petrol,Automatic,3,93690
2010,Tata,96020,29.55,1070,101.1,60.9,4,Electric,Manual,3,90180
2020,Maruti,57038,28.28,1639,166.5,155.0,5,Diesel,Manual,2,222179
2002,Volkswagen,173409,22.58,2717,174.1,264.7,5,Electric,Manual,3,235312
2003,Kia,165722,11.8,2218,114.4,120.7,5,Electric,Automatic,3,169957
2003,Tata,174911,25.44,2902,73.4,283.7,4,Electric,Automatic,3,91476
1996,Hyundai,52968,11.55,2903,86.9,70.1,7,CNG,Automatic,1,140918
2007,Ford,69929,15.2,2051,162.7,369.8,7,Electric,Automatic,2,149077
2007,Honda,24719,22.09,1410,57.3,357.9,4,CNG,Manual,1,30000
2017,Ford,93311,10.7,2445,118.5,315.2,7,CNG,Automatic,3,101852
2017,Kia,126671,15.95,2799,185.7,358.8,7,Petrol,Manual,1,224386
1998,Mahindra,139803,17.16,1878,71.9,275.7,5,Diesel,Automatic,3,58128
2019,Maruti,140265,11.03,1279,40.9,85.9,5,Petrol,Manual,1,38821
2018,Mahindra,166786,21.31,2729,117.8,267.5,7,CNG,Manual,2,158391
2006,Renault,23209,23.51,2898,93.8,242.4,5,Diesel,Manual,2,162345
2011,Renault,168254,11.89,2771,154.4,224.4,5,CNG,Manual,1,237965
1996,Honda,113545,17.51,1137,174.1,250.2,7,Petrol,Automatic,3,163562
2007,Toyota,133029,16.38,872,78.2,377.5,7,Diesel,Manual,2,115331
2023,Renault,197383,19.83,1486,89.9,189.5,7,CNG,Manual,1,71895
2012,Renault,146154,28.66,2102,44.2,279.7,4,CNG,Automatic,2,50350
2022,Ford,145154,19.78,2155,137.9,349.9,6,Petrol,Manual,2,170309
2022,Tata,28655,10.05,2013,130.3,379.6,4,CNG,Manual,3,128888
2021,Toyota,103163,10.72,1477,118.1,164.7,4,Petrol,Automatic,2,149618
2009,Volkswagen,141560,16.82,2799,78.2,212.7,5,Petrol,Manual,3,65250
2002,Kia,4692,12.09,1534,134.9,287.2,6,Petrol,Automatic,3,179900
2009,Hyundai,167176,15.96,1307,138.6,107.7,4,Diesel,Manual,2,130629
1995,Hyundai,44336,22.8,2651,172.2,274.2,6,Electric,Automatic,1,217505
2014,Maruti,150601,15.17,1429,95.8,77.7,4,Petrol,Automatic,3,162275
2004,Honda,50515,12.3,1367,175.3,387.2,6,Petrol,Automatic,3,185878
2006,Honda,84434,24.03,974,165.7,300.6,5,Electric,Automatic,1,241620
1999,Toyota,33710,28.34,2228,172.9,74.2,6,Electric,Manual,1,235150
2003,Honda,31607,28.21,1929,65.3,302.8,7,Diesel,Manual,2,76659
2017,Volkswagen,154434,23.06,2468,69.4,89.6,6,Diesel,Automatic,3,65090
2002,Tata,88118,13.7,1869,173.9,88.4,5,Diesel,Automatic,1,199131
2010,Kia,42279,27.46,1745,130.3,64.0,4,CNG,Manual,2,107671
2008,Renault,184383,25.24,953,142.2,173.3,7,Petrol,Automatic,2,172408
2021,Tata,78168,26.78,1102,117.8,63.7,6,Diesel,Automatic,2,130713
2019,Renault,68769,12.97,1247,153.5,149.4,7,Petrol,Automatic,1,157173
2007,Renault,75322,19.68,1472,131.2,259.4,6,Diesel,Manual,2,111650
2017,Volkswagen,133084,20.66,1096,56.2,382.3,6,Electric,Manual,2,89182
2015,Tata,187718,25.5,974,84.1,367.8,7,Petrol,Automatic,3,75349
2007,Hyundai,84462,16.51,1476,187.3,372.3,6,Electric,Automatic,1,178634
1999,Mahindra,139348,16.93,952,111.6,358.2,6,Electric,Manual,1,91204
2010,Toyota,91938,27.72,2524,71.8,113.3,6,Diesel,Manual,3,105182
2020,Tata,82905,24.81,2864,98.4,246.9,6,Electric,Manual,3,103518
2005,Hyundai,185431,22.78,1345,85.1,226.5,7,Electric,Manual,1,118856
2016,Toyota,175365,12.42,912,142.6,304.2,4,Electric,Automatic,2,188564
1999,Renault,114403,11.38,1154,128.5,260.8,4,CNG,Automatic,1,132915
2007,Maruti,28017,22.91,2567,57.9,325.2,7,CNG,Automatic,1,77389
2022,Honda,2121,20.26,1083,181.8,356.7,5,Petrol,Manual,2,220125
2005,Toyota,24052,29.69,2633,95.7,327.0,5,CNG,Manual,3,114744
2019,Hyundai,70798,27.04,912,152.6,137.4,7,Petrol,Manual,2,215812
2013,Hyundai,146855,21.4,1223,112.2,249.1,6,Diesel,Automatic,1,176538
1997,Tata,43264,12.39,926,195.7,60.6,6,Petrol,Automatic,1,239974
2009,Tata,89289,11.96,2445,143.4,148.8,4,CNG,Automatic,3,213111
2001,Honda,199567,19.23,1804,195.1,271.8,7,Electric,Automatic,2,243710
2001,Renault,78863,12.99,2594,168.0,169.2,5,Diesel,Manual,3,186911
2000,Honda,75215,23.7,1016,134.0,353.1,6,Electric,Manual,2,165414
1997,Hyundai,47497,10.94,2676,141.1,346.2,5,Petrol,Manual,1,118600
2007,Mahindra,122166,29.88,1124,151.5,146.8,4,Electric,Automatic,3,157195
2001,Ford,190954,28.92,2522,147.1,66.3,4,Petrol,Automatic,3,161485
1999,Maruti,83355,22.08,2120,53.1,352.1,7,Diesel,Manual,2,30000
2017,Hyundai,179426,13.96,2107,138.8,378.4,4,Diesel,Manual,3,140066
2012,Hyundai,62229,15.65,2184,87.3,177.8,6,Petrol,Automatic,2,79324
2016,Renault,140093,15.89,1173,97.8,180.3,5,Petrol,Manual,2,122853
2002,Volkswagen,51273,13.73,2371,52.5,201.3,6,Electric,Automatic,1,71325
2011,Tata,54572,12.2,1555,161.9,327.4,6,CNG,Automatic,1,164463
2014,Toyota,107280,23.26,1195,88.0,386.4,4,Electric,Automatic,3,152781
2021,Toyota,152355,24.96,1031,102.8,109.6,7,CNG,Automatic,2,128904
1995,Mahindra,115332,14.89,1221,145.0,299.1,4,CNG,Automatic,2,178939
2008,Honda,98159,25.17,2652,197.1,178.9,7,Petrol,Automatic,2,277096
2011,Toyota,82761,13.3,1815,47.0,304.0,5,Diesel,Automatic,3,52191
2004,Toyota,130539,14.66,2091,48.4,101.5,4,Diesel,Manual,3,30000
2006,Ford,180480,25.69,2679,91.9,375.3,6,Petrol,Automatic,3,147509
2010,Ford,116963,29.55,2643,161.2,199.4,5,Electric,Manual,2,198554
2008,Maruti,122265,25.56,1059,182.9,264.4,5,Diesel,Manual,2,179350
2021,Honda,37094,13.95,1712,56.8,286.5,7,Petrol,Automatic,3,102834
2010,Kia,145790,15.96,2974,94.3,178.9,4,Petrol,Manual,3,112645
2002,Tata,5504,22.79,2794,93.7,132.3,6,Diesel,Manual,1,82756
2017,Tata,144201,29.09,1038,79.9,60.8,5,CNG,Manual,1,103356
2022,Toyota,123859,29.89,2051,154.1,263.8,6,Diesel,Automatic,3,148663
2004,Volkswagen,157769,21.75,1030,122.6,317.6,4,CNG,Manual,1,103199
2023,Kia,123004,18.73,2313,45.1,220.1,5,CNG,Manual,2,88536
2011,Honda,76883,14.84,2768,47.3,328.5,4,Diesel,Manual,3,77141
2021,Renault,91461,11.52,1017,114.8,376.4,5,Electric,Automatic,3,155716
2023,Tata,150626,16.14,1827,83.2,389.9,4,Electric,Automatic,2,95328
2012,Hyundai,74015,21.2,1637,47.7,213.9,7,Petrol,Manual,3,96188
2014,Honda,181482,22.78,1574,73.6,184.9,5,Petrol,Manual,3,93762
2010,Maruti,167292,16.62,2853,55.7,182.2,6,Diesel,Manual,2,105400
2011,Honda,155834,29.19,2026,179.7,89.0,7,Petrol,Automatic,1,213086
2010,Toyota,101306,11.89,2347,78.5,353.7,4,Diesel,Automatic,1,52856
2013,Tata,181400,24.19,2336,127.4,96.7,7,Diesel,Manual,3,151377
2018,Volkswagen,177097,17.54,1942,48.2,261.4,5,Petrol,Automatic,1,31161
2018,Ford,160606,25.59,1288,164.8,165.5,7,CNG,Manual,2,158938
2002,Honda,78645,26.69,1749,49.8,201.0,6,Petrol,Automatic,3,30000
2000,Ford,18987,24.5,2982,72.1,277.8,4,Petrol,Automatic,2,135319
2000,Toyota,9478,21.42,2974,146.6,168.8,5,Electric,Manual,2,166213
2015,Maruti,195861,11.55,2074,196.0,152.9,5,Diesel,Automatic,2,236368
2023,Maruti,121778,12.81,2690,73.0,96.3,7,Diesel,Automatic,3,120763
2003,Renault,128915,21.94,1011,48.4,186.0,5,CNG,Automatic,1,30000
1998,Volkswagen,16660,29.29,2257,102.0,398.8,4,CNG,Manual,1,136512
2020,Ford,169880,20.59,1545,118.6,376.8,4,CNG,Manual,3,125307
2006,Toyota,136939,28.01,1007,150.7,147.8,4,Diesel,Manual,3,187662
2022,Maruti,184932,28.51,2639,175.2,220.4,6,Diesel,Manual,1,194055
2006,Tata,88759,12.4,2127,109.3,311.3,4,Electric,Automatic,1,146224
2017,Volkswagen,27789,19.12,2060,151.8,299.9,7,Petrol,Manual,2,201469
2011,Ford,167149,25.06,2404,72.6,335.6,6,CNG,Automatic,2,132364
2009,Tata,64192,18.17,2058,188.7,249.3,7,Diesel,Manual,3,251944
2003,Tata,12159,15.87,1411,100.1,136.9,7,Electric,Automatic,3,68007
2001,Renault,189198,28.28,2389,62.9,174.2,6,Petrol,Manual,2,73378
2004,Tata,108592,21.94,1044,100.8,81.6,6,Electric,Manual,3,102946
2010,Hyundai,60556,22.56,1946,67.6,324.0,7,Electric,Manual,3,104795
2006,Ford,133705,23.98,1838,94.0,198.7,5,CNG,Manual,3,147053
2019,Volkswagen,31113,29.46,2434,163.8,300.6,6,CNG,Automatic,2,240064
2001,Toyota,195942,22.31,2340,56.8,371.4,6,Electric,Manual,1,43006
2012,Honda,16399,10.32,1927,52.1,278.2,7,Petrol,Automatic,1,108742
2009,Renault,16607,29.33,2130,63.8,161.1,7,Diesel,Automatic,2,66076
2000,Volkswagen,96399,14.54,1683,108.6,138.4,4,Diesel,Automatic,3,164235
2020,Mahindra,41740,29.23,1633,63.0,271.2,5,Diesel,Automatic,2,34997
2006,Toyota,2661,17.94,1430,162.4,277.7,6,Diesel,Manual,1,236915
2005,Toyota,83907,27.18,1829,147.8,163.2,5,CNG,Automatic,3,177703
2014,Mahindra,151577,18.02,2867,186.6,374.6,7,Diesel,Manual,1,184311
1997,Toyota,47575,22.6,803,191.1,254.6,4,Diesel,Automatic,1,223405
1996,Honda,153330,18.04,2999,101.2,297.5,7,Petrol,Manual,3,74190
2000,Toyota,8885,24.78,2137,128.7,129.9,6,Diesel,Manual,3,187745
2018,Volkswagen,111489,26.11,2205,152.5,313.9,7,Diesel,Manual,2,147692
2016,Mahindra,143267,26.97,1949,145.2,147.6,7,Petrol,Manual,2,222309
2019,Hyundai,172771,14.46,2198,46.8,220.6,7,CNG,Automatic,3,85988
1999,Ford,66031,26.61,1883,123.6,288.6,6,Electric,Manual,3,161986
2012,Mahindra,167683,18.08,2444,124.4,79.0,6,CNG,Manual,2,130718
2010,Kia,24099,22.14,1828,97.6,258.7,7,Electric,Manual,2,119909
2002,Tata,44775,11.25,1338,94.3,199.5,4,Electric,Automatic,1,107602
2019,Maruti,159040,21.99,2923,116.3,271.1,6,Diesel,Manual,1,157543
2020,Kia,196849,26.49,2972,74.7,68.8,7,Electric,Manual,1,118658
2014,Mahindra,17958,15.66,2669,167.5,191.0,6,CNG,Automatic,3,199502
2016,Kia,184484,19.23,2734,104.1,294.7,5,Diesel,Manual,2,141856
2005,Maruti,71645,26.43,2883,195.6,343.8,6,Petrol,Automatic,2,285829
2004,Hyundai,162098,16.01,1645,76.2,188.8,7,CNG,Automatic,3,42449
2018,Honda,177281,28.39,2933,130.1,109.1,6,CNG,Automatic,2,213292
2019,Mahindra,39550,13.09,2247,104.3,250.4,7,Diesel,Automatic,1,130651
2006,Tata,56230,19.51,2519,118.1,195.8,4,Diesel,Automatic,2,104075
2015,Mahindra,92794,22.68,804,148.9,273.8,6,Petrol,Automatic,1,160862
2022,Maruti,188537,19.43,2170,125.3,93.0,7,Electric,Automatic,1,137638
2000,Toyota,26777,18.25,1149,112.7,357.8,6,Petrol,Automatic,2,130327
2021,Tata,33914,22.73,1166,160.3,117.0,5,Petrol,Manual,1,207599
2014,Toyota,74998,27.76,1049,181.7,194.7,4,Electric,Manual,1,237149
1999,Toyota,115703,23.25,1767,57.9,117.3,6,Electric,Manual,2,39542
2017,Mahindra,135035,22.48,2111,157.4,110.3,7,CNG,Automatic,3,239796
2003,Renault,119271,24.9,2927,47.8,399.8,5,CNG,Manual,2,30337
2020,Mahindra,70778,18.08,1293,67.6,254.1,5,CNG,Automatic,1,87510
2021,Ford,40366,10.35,1757,100.0,214.0,5,Electric,Manual,3,129923
2023,Renault,98623,28.78,2977,48.9,283.9,6,Petrol,Automatic,1,30000
2010,Tata,144283,16.13,2422,61.5,328.8,6,Petrol,Manual,3,111292
2016,Tata,100335,25.36,2317,164.9,382.3,6,Electric,Manual,3,192185
2008,Hyundai,13337,21.79,1038,89.9,289.6,6,Diesel,Automatic,1,58906
2016,Volkswagen,92836,23.88,1219,93.4,351.6,4,Petrol,Automatic,2,74621
2002,Mahindra,115263,26.36,2679,185.7,345.1,5,CNG,Manual,3,239702
2021,Maruti,28527,19.85,1089,177.6,290.8,4,Diesel,Manual,2,257764
2014,Kia,189428,10.68,2966,140.3,144.8,5,Electric,Manual,1,210867
2013,Ford,84145,29.27,2015,136.9,245.1,6,Diesel,Automatic,3,163676
2008,Hyundai,42618,26.06,2399,48.9,149.8,6,Diesel,Automatic,3,107290
2001,Tata,110974,22.85,1448,124.1,352.1,6,CNG,Automatic,2,100867
1999,Volkswagen,175008,27.77,889,59.9,60.0,5,Diesel,Manual,2,30000
2012,Kia,21329,28.48,2197,79.3,64.8,6,Diesel,Automatic,3,57982
1996,Mahindra,11397,27.55,1579,148.9,78.9,7,Diesel,Manual,2,153087
2005,Honda,71621,12.85,1393,41.2,331.4,7,Petrol,Automatic,3,65433
2016,Volkswagen,143236,24.58,1448,59.1,185.4,6,Electric,Manual,3,72986
2002,Toyota,115056,16.38,1114,68.8,329.4,4,Electric,Automatic,3,78897
1995,Honda,121775,10.85,1925,98.9,289.4,5,Diesel,Automatic,1,67439
2021,Maruti,149847,15.58,1995,86.6,234.9,4,Electric,Automatic,1,64059
2016,Volkswagen,137984,23.09,900,121.6,109.3,7,CNG,Manual,2,115056
2006,Ford,62816,28.26,2731,176.9,341.1,4,Electric,Manual,2,216658
1996,Renault,69713,23.82,973,76.5,344.3,6,CNG,Manual,1,98095
